study;year;no;condition;forcing_variable;group;asta_correlation;confidence;comments
Snoeijs & Häubner;2014;;in vivo;diet_composition;diet;increase;high;echinone and zeaxanthin negatively correlated : more asta if no cynanobacteria
Snoeijs & Häubner;2014;;in vivo;nutrients;NA;increase;high;moreDIN and DIP so more diatoms : other indidication of phytoplanktonic composition 
Sommaruga;2010;;in vivo;refuge (UV_radiations + depth);NA;decrease;low;really doubtful linear regression
Garcia et al.;2008;;in vivo;temperature;env;decrease;high;
Garcia et al.;2008;;in vivo;UV_radiations;light_radiations;decrease;high;
Garcia et al.;2008;;in vivo;diet_quantity;diet;no change;high;
Garcia et al.;2008;;in vitro;UV_radiations;light_radiations;increase;high;fig 4b 
Garcia et al.;2008;;in vitro;UV_temp;NA;increase;high;fig 4b 
Garcia et al.;2008;;in vitro;temperature;env;no change;high;fig 4b 
Garcia et al.;2008;;in vitro;UV_radiations;light_radiations;increase;high;fig 4d
Garcia et al.;2008;;in vitro;UV_temp;NA;increase;high;fig 4d
Garcia et al.;2008;;in vitro;temperature;env;no change;high;fig 4d
Sommer et al.;2006;;in vivo;individual_depth;env;no change;high;fig 1
Sommer et al.;2006;;in vivo;diet_quantity;diet;no change;high;vertical distribution of chla
Sommer et al.;2006;;in vivo;diurnal_variations;light_radiations;increase;high;maximum at night
Sommer et al.;2006;;in vitro;diet_quantity;diet;increase;low;fig 4 comaprison upright and upleft pannel (food/no food, same light levels) but no statiscal test
Sommer et al.;2006;;in vitro;darkness + starvation;NA;decrease;low;fig 4 up-left pannel
Sommer et al.;2006;;in vitro;natural_light;light_radiations;increase;low;fig 4 up-right panel comparison at the same food level
Tartarotti et al.;2017;;in vivo;UV_radiations;light_radiations;no change;high;caroteoids variations among lakes but no explicative variables
Tartarotti et al.;2017;;in vivo;natural_light;light_radiations;no change;high;transparency/turbidity of lakes not correlated with carotenoids
Tartarotti et al.;2018;;in vivo;ice_cover;env;decrease;high;strong anti-correlation
Tartarotti et al.;2018;;in vivo;MAAs;metabolism;increase;high;strong covariation
Trudnowska et al.;2020;;in vivo;prefered_water_mass;NA;increase;high;
Trudnowska et al.;2020;;in vivo;lipid_content;metabolism;no change;high;
van der Veen;2005;;in vitro;fish_presence;predation;decrease;high;augmentation of the infection risk
Van Nieuwerburgh et al.;2004;;mesocosm;diet_composition;diet;increase;high;diversity of the diet, high betacarotene levels, not to much diatoms heavily silicified
Vesthein & Kaartvedt;2006;;in vivo;individual_depth;env;increase;high;camouflage hypothesis
Vesthein & Kaartvedt;2006;;in vivo;diurnal_variations;light_radiations;increase;high;maximum at night
Weaver et al.;2016;;in vitro;copper;NA;decrease;high;from table III
Weaver et al.;2018;a;in vitro;diet_composition;diet;increase;high;no color with a yeast diet, and more astaxanthin with zeaxanthin and canthaxanthin precursors
Zengling et al.;2010;;in vitro;UV_radiations;light_radiations;increase;high;strong correlation, more effects of UVB thant UVA
Inaotombi et al.;2020;;in vivo;lake_elevation;env;increase;high;table S4 
Inaotombi et al.;2020;;in vivo;temperature;env;decrease;high;table S4, highest pearson coefficient
Inaotombi et al.;2020;;in vivo;lake_depth;env;decrease;high;table S4
Inaotombi et al.;2020;;in vivo;natural_light;light_radiations;increase;high;table S4,  transparency 
Inaotombi et al.;2020;;in vivo;alkalinity;NA;decrease;high;table S4, and pH
Inaotombi et al.;2020;;in vivo;lignin_like_compounds;NA;increase;high;table S4, same for all other environmental sediment variables 
Inaotombi et al.;2020;;in vivo;dissolved_oxygen;NA;increase;high;table S4
Cui et al.;2021;;in vivo;lipid_content;metabolism;increase;high;text (end of results)
