study;year;no;study_type;latitude;longitude;ecosystem;altitude;sampling_month;genus;species;stage;astaxanthin_or_carotenoids;astaxanthin_on_total_car;asta_form;concentration;unit;daily_pic_moment;seasonal_pic_season;seasonal_pic_month;predator_abundance;comments
Brusin et al.;2016;;forcing variables;56;16;freshwater;;november_december ;Diaptomus;Diaptomus castor;mixed;NA;NA;NA;"136,5; 146";a*, b* channel color value;NA;NA;NA;null;colorimetric method, individual approach, L*a*b* color values
Brusin et al.;2016;;forcing variables;55;13;freshwater;;march_april;Eudiaptomus;Eudiaptomus gracialis;mixed;NA;NA;NA;"127,5; 140";a*, b* channel color value;NA;NA;NA;low;colorimetric method, individual approach, L*a*b* color values
Caramujo et al.;2012;;forcing variables + redness and fitness;38;-9;marine;NA;NA;Amphiascoides;Amphiascoides atopus;adults_females;astaxanthin;NA;NA;0.38;ug/mgDW;NA;NA;NA;NA;conversion factor ng/copepod to ug mg dry wtÐ1, divided by 5 because 1 adult female is 5ug dry wtÐ1
Buffan-Dubau & Castel;1996;;pigment identification/quantification;44;-1;marine;NA;march_october;Canuella;Canuella perplexa;adults;astaxanthin;100;NA;0.00835;ng.ind-1 ;NA;NA;NA;high;underestimation, lost of coloration after drying/freezing
Choquet et al. ;2018;;methodology;60;5;marine;NA;june;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;16;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;60;5;marine;NA;june;Calanus;Calanus glacialis;mixed;NA;NA;NA;72;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;67;14;marine;NA;februar;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;5;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;67;14;marine;NA;februar;Calanus;Calanus glacialis;mixed;NA;NA;NA;88;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;78;15;marine;NA;may;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;42;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;78;15;marine;NA;may;Calanus;Calanus glacialis;mixed;NA;NA;NA;99;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;87;10;marine;NA;april;Calanus;Calanus finmarchicus;mixed;NA;NA;NA;6;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Choquet et al. ;2018;;methodology;87;10;marine;NA;april ;Calanus;Calanus glacialis;mixed;NA;NA;NA;100;% of copepod with red antennules;NA;NA;NA;NA;comparison of redness in the two species, semi-quantitative approach
Czeczuga & Czerpak;1966;;pigment identification/quantification;53;23;freshwater;137;may_june;Diaptomus;Diaptomus castor;adults_females_eggs;carotenoids;NA;NA;NA;NA;NA;NA;NA;NA;
Czeczuga & Czerpak;1966;;pigment identification/quantification;53;23;freshwater;137;may_june;Hemidiaptomus;Hemidiaptomus amblyodon;mixed;carotenoids;NA;NA;NA;NA;NA;NA;NA;NA;
Davenport et al. ;2004;;forcing variables + redness and fitness;51.78;-8.29;marine;NA;summer_winter;Tigriopus;Tigriopus brevicornis;mixed;astaxanthin;NA;NA;6.215;ug/mgDW;NA;winter;NA;NA;
Davenport et al. ;2004;;forcing variables + redness and fitness;51.64;-8.55;marine;NA;summer_winter;Tigriopus;Tigriopus brevicornis;mixed;astaxanthin;NA;NA;4.895;ug/mgDW;NA;no;NA;NA;
Davenport et al. ;2004;;forcing variables + redness and fitness;51.64;-8.58;marine;NA;summer_winter;Tigriopus;Tigriopus brevicornis;mixed;astaxanthin;NA;NA;8.22;ug/mgDW;NA;no;NA;NA;
Foss et al. ;1987;;pigment identification/quantification;62;8;marine;NA;may;Calanus;Calanus finmarchicus;adults;astaxanthin;100;46% diester, 43%monoester, 11%free;NA;NA;NA;NA;NA;NA;
Goodwin and Srisukh;1949;;pigment identification/quantification;53;-3;marine;NA;NA;Tigriopus;Tigriopus fulvus;adults;astaxanthin;NA;free form dominant, esters;5215;ng.ind-1;NA;NA;NA;NA;
Goodwin and Srisukh;1949;;pigment identification/quantification;53;-3;marine;NA;NA;Tigriopus;Tigriopus fulvus;eggs;astaxanthin;NA;NA;2.235;ug.egg-1;NA;NA;NA;NA;
Hairston;1979;a;forcing variables + redness and fitness;47.4;-119.5;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_females;carotenoids;NA;NA;0.4;OD/mgdrywt;NA;winter;january;low;no fish, but salamanders and damsfly larvae
Hairston;1979;a;forcing variables + redness and fitness;47.4;-119.5;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_males;carotenoids;NA;NA;0.58;OD/mgdrywt;NA;winter;march;low;no fish, but salamanders and damsfly larvae
Hairston;1979;a;forcing variables + redness and fitness;47.4;-119.5;freshwater;329;all_year_long;Diaptomus;Diaptomus silicis;adults;carotenoids;NA;NA;0.65;OD/mgdrywt;NA;no;NA;low;no fish, but salamanders and damsfly larvae
Hairston;1979;a;forcing variables + redness and fitness;47.48;-119.52;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_females;carotenoids;NA;NA;0.1;OD/mgdrywt;NA;winter;march;low;no fish, but salamanders and damsfly larvae
Hairston;1979;a;forcing variables + redness and fitness;47.48;-119.52;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_males;carotenoids;NA;NA;0.09;OD/mgdrywt;NA;winter;march;low;no fish, but salamanders and damsfly larvae
Hairston;1979;a;forcing variables + redness and fitness;47.48;-119.52;freshwater;329;all_year_long;Diaptomus;Diaptomus silicis;adults;carotenoids;NA;NA;0.43;OD/mgdrywt;NA;spring;april;low;no fish, but salamanders and damsfly larvae
Hairston;1979;b;forcing variables;47.4;-119.5;freshwater;329;all_year_long;Diaptomus;Diaptomus silicis;adults;carotenoids;NA;NA;0.8;OD/mgdrywt;NA;no;NA;low;fig1, first panel
Hairston;1979;b;forcing variables;47.4;-119.5;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_females;carotenoids;NA;NA;0.4;OD/mgdrywt;NA;winter;january;low;fig1, 2nd panel
Hairston;1979;b;forcing variables;47.48;-119.52;freshwater;329;all_year_long;Diaptomus;Diaptomus silicis;adults;carotenoids;NA;NA;0.6;OD/mgdrywt;NA;spring;april;low;fig1, 3rd panel
Hairston;1979;b;forcing variables;47.48;-119.52;freshwater;329;all_year_long;Diaptomus;Diaptomus nevadensis;adults_females;carotenoids;NA;NA;0.1;OD/mgdrywt;NA;winter;february;low;fig1, 4th panel
Hairston;1979;b;forcing variables;47;-119;freshwater;329;novembe_december_march;Diaptomus;Diaptomus nevadensis;copepodits;carotenoids;NA;NA;0.5345;OD/mgdrywt;NA;NA;NA;low;more carotenoids per mgDW in eggs and nauplii, but more by individuals in copepodits and adults
Hairston;1979;b;forcing variables;47;-119;freshwater;329;novembe_december_march;Diaptomus;Diaptomus nevadensis;nauplii;carotenoids;NA;NA;2.026;OD/mgdrywt;NA;NA;NA;low;
Hairston;1979;b;forcing variables;47;-119;freshwater;329;novembe_december_march;Diaptomus;Diaptomus nevadensis;eggs;carotenoids;NA;NA;4.052;OD/mgdrywt;NA;NA;NA;low;
Hairston;1979;c;forcing variables + redness and fitness;47;-119;freshwater;329;january_february_march_april;Diaptomus;Diaptomus nevadensis;adults;carotenoids;NA;NA;2.455;ug/mgDW;NA;NA;NA;low;
Hairston;1979;c;redness and fitness;47;-119;freshwater;329;july_august_september_october;Diaptomus;Diaptomus nevadensis;adults;carotenoids;NA;NA;0.615;ug/mgDW;NA;NA;NA;low;
Hairston;1980;NA;forcing variables;41.41;-71.59;freshwater;70;april;Diaptomus;Diaptomus sanguineus;adults;carotenoids;NA;NA;3800;ng.ind-1;no;NA;NA;NA;
Hairston;1980;NA;forcing variables;41.4;-71.59;freshwater;70;april;Diaptomus;Diaptomus sanguineus;adults;carotenoids;NA;NA;3100;ng.ind-1;no;NA;NA;NA;
Hairston;1980;NA;forcing variables;41.6;-71.7;freshwater;25;april;Diaptomus;Diaptomus sanguineus;adults;carotenoids;NA;NA;7800;ng.ind-1;no;NA;NA;NA;
Hairston;1980;NA;forcing variables;41.6;-71.7;freshwater;25;april;Diaptomus;Diaptomus sanguineus;adults;carotenoids;NA;NA;3200;ng.ind-1;no;NA;NA;NA;
Hallegraeff et al.;1978;NA;forcing variables;45;2;freshwater;1182;august;Acanthodiaptomus;Acanthodiaptomus denticornis;adults;carotenoids;NA;NA;4.9;OD/ind;min day, max night;NA;NA;NA;
Hansson;2000;b;forcing variables;69;-135;freshwater;300;august;Diaptomus;Diaptomus sp.;mixed;carotenoids;NA;NA;0.9;ug/mgDW;NA;NA;NA;high;redness as an inducible defense, latitude and longitude
Hansson;2000;b;forcing variables;55.67;13.5;freshwater;43,3;august;mixed;mixed (calanoid and cyclopoid);mixed;carotenoids;NA;NA;0.8;ug/mgDW;NA;NA;NA;high;redness as an inducible defense, latitude and longitude
Hansson;2000;b;forcing variables;69;-135;freshwater;300;august;Diaptomus;Diaptomus sp.;mixed;carotenoids;NA;NA;5.8;ug/mgDW;NA;NA;NA;null;redness as an inducible defense, latitude and longitude
Hansson;2000;b;forcing variables;55.67;13.5;freshwater;43,3;august;mixed;mixed (calanoid and cyclopoid);mixed;carotenoids;NA;NA;2.2;ug/mgDW;NA;NA;NA;null;redness as an inducible defense, latitude and longitude
Hansson;2004;NA;forcing variables;55.99;13.5;freshwater;107;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;1.34;ug/mgDW;NA;winter ;march;low;fig3, panel 1
Hansson;2004;NA;forcing variables;55.67;13.54;freshwater;21;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;0.87;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.7;13.47;freshwater;19;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;1.07;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.86;13.55;freshwater;56;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;0.74;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.58;14.67;freshwater;36;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;0.66;ug/mgDW;NA;winter;februrary;high;fig3, panel 2
Hansson;2004;NA;forcing variables;55.68;13.6;freshwater;21;all_year_long;mixed;mixed (calanoid);mixed;astaxanthin;NA;NA;0.63;ug/mgDW;NA;NA;NA;high;
Hansson;2004;NA;forcing variables;55.99;13.5;freshwater;107;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;1.2;ug/mgDW;NA;spring;april;low;
Hansson;2004;NA;forcing variables;55.67;13.54;freshwater;21;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;0.78;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.7;13.47;freshwater;19;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;0.88;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.86;13.55;freshwater;56;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;0.91;ug/mgDW;NA;NA;NA;low;
Hansson;2004;NA;forcing variables;55.58;14.67;freshwater;36;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;0.63;ug/mgDW;NA;winter;march;high;
Hansson;2004;NA;forcing variables;55.68;13.6;freshwater;21;all_year_long;mixed;mixed (cyclopoid);mixed;astaxanthin;NA;NA;0.68;ug/mgDW;NA;NA;NA;high;
Holeton et al.;2009;NA;forcing variables;58;17;marine;NA;june;Acartia;Acartia bifilosa;adults;astaxanthin;dominance;55% free, 45% monoester;0.6;ng.ind-1;NA;NA;NA;NA;also canthaxanthin found
Holeton et al.;2009;NA;forcing variables;58;17;marine;NA;june;Acartia;Acartia bifilosa;adults_females;astaxanthin;dominance;NA;0.201;ug/mgDW;NA;NA;NA;NA;equivalent to previous line, for females, also canthaxanthin found
Holeton et al.;2009;NA;forcing variables;58;17;marine;NA;june;Acartia;Acartia bifilosa;eggs;astaxanthin;dominance;NA;0.38;ng.clutch-1;NA;NA;NA;NA;estimation
Hylander et al.;2009;b;forcing variables;55.67;13.5;freshwater;40;may_june_july;Eudiaptomus;Eudiaptomus gracialis;mixed;carotenoids;NA;NA;2.6;ug/mgDW;NA;NA;NA;NA;
Hylander et al.;2012;NA;forcing variables + redness and fitness;55.66;13.4;freshwater;93;NA;Eudiaptomus;Eudiaptomus gracialis;adults;carotenoids;NA;NA;4.15;ug/mgDW;NA;NA;NA;NA;
Hylander & Jephson ;2010;NA;forcing variables;55.8;12.7;marine;NA;april;Acartia;Acartia tonsa;adults;carotenoids;NA;NA;1.04;ug/mgDW;NA;NA;NA;NA;
Hylander et al.;2009;a;forcing variables + redness and fitness;68;18;freshwater;490;june_july;mixed;Eudiaptomus sp., Leptodiaptomus sp.;adults;carotenoids;NA;NA;1.7;ug/mgDW;NA;NA;NA;low;
Hylander et al.;2009;a;forcing variables + redness and fitness;57;15;freshwater;206;july;mixed;Eudiaptomus sp., Leptodiaptomus sp.;adults;carotenoids;NA;NA;2.6;ug/mgDW;NA;NA;NA;high;
Hylander et al.;2009;a;forcing variables + redness and fitness;33;-104;freshwater;1070;july_august;mixed;Eudiaptomus sp., Leptodiaptomus sp.;adults;carotenoids;NA;NA;0.8;ug/mgDW;NA;NA;NA;high;but high MAAs concentrations
Hylander & Hansson;2013;NA;forcing variables;-75;-133;marine;NA;february_austral_summer;Calanoides;Calanoides acutus;adults_late_copepodits;carotenoids;NA;NA;0.1;ug/mgDW;NA;NA;NA;NA;
Hylander & Hansson;2013;NA;forcing variables;-75;-133;marine;NA;february_austral_summer);mixed;Oncaea curvata, Oithona similis;adults_late_copepodits;carotenoids;NA;NA;0.7;ug/mgDW;NA;NA;NA;NA;
Hylander et al.;2014;NA;forcing variables;55;12;marine;NA;NA;Acartia;Acartia tonsa;adults;carotenoids;NA;NA;0.75;ug/mgDW;NA;NA;NA;NA;MAAs highly variable
Hansson et al.;2007;NA;forcing variables;55.66;13.4;freshwater;;november ;Eudiaptomus;Eudiaptomus gracialis;adults;carotenoids;NA;NA;4.49;ug/mgDW;NA;NA;NA;high;
Hansson et al.;2007;NA;forcing variables;67.04;-173.23;freshwater;9;august;Leptodiaptomus;Leptodiaptomus angustilobus;adults;carotenoids;NA;NA;7.29;ug/mgDW;NA;NA;NA;high;
Hylander et al.;2015;NA;forcing variables;69;-53;marine;NA;march_april;Calanus;Calanus finmarchicus;adults;carotenoids;NA;NA;0.125;ug/mgDW;no;NA;NA;NA;
Hylander et al.;2015;NA;forcing variables;69;-53;marine;NA;march_april;Calanus;Calanus glacialis;adults;carotenoids;NA;NA;0.15;ug/mgDW;NA;NA;NA;NA;
Hylander et al.;2015;NA;forcing variables;69;-53;marine;NA;march_april;Calanus;Calanus hyperboreus;adults;carotenoids;NA;NA;0.35;ug/mgDW;NA;NA;NA;NA;
Alcocer et al. ;2020;NA;forcing variables;19;-99;freshwater;4230;all_year_long;Leptodiaptomus;Leptodiaptomus cuauhtemoci;adults;carotenoids;NA;NA;2.81;ug/mgDW;NA;winter;february;NA;
Herring;1972;NA;forcing variables;32;-16;marine;NA;NA;mixed;mixed (copepods, euphausiids);mixed;carotenoids;dominance;NA;0.008;ug/mgDW;NA;NA;NA;NA;underestimation because dry weight calculated with large euphausiids
Herring;1972;NA;forcing variables;29;-11;marine;NA;NA;mixed;mixed (copepods, euphausiids);mixed;carotenoids;dominance;NA;0.021;ug/mgDW;NA;NA;NA;NA;underestimation because dry weight calculated with large euphausiids
Herring;1972;NA;forcing variables;28;-14;marine;NA;NA;mixed;mixed (copepods, euphausiids);mixed;carotenoids;dominance;NA;0.038;ug/mgDW;NA;NA;NA;NA;underestimation because dry weight calculated with large euphausiids
Herring;1972;NA;forcing variables;28;-14;marine;NA;NA;mixed;mixed (copepods, euphausiids);mixed;carotenoids;dominance;NA;0.05;ug/mgDW;NA;NA;NA;NA;underestimation because dry weight calculated with large euphausiids
Herring;1972;NA;forcing variables;16;-25;marine;NA;NA;mixed;mixed (copepods, euphausiids);mixed;carotenoids;dominance;NA;0.046;ug/mgDW;NA;NA;NA;NA;underestimation because dry weight calculated with large euphausiids
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Pontellopsis;Pontellopsis regalis;mixed;carotenoids;dominance;NA;0.23;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Pontellopsis;Pontellopsis villosa;mixed;carotenoids;dominance;NA;0.38;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Anomalocera;Anomalocera patersoni;mixed;carotenoids;dominance;NA;0.148;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Labidocera;Labidocera nerii;mixed;carotenoids;dominance;NA;0.076;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Labidocera;Labidocera woolastoni;mixed;carotenoids;dominance;NA;0.12;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Herring;1972;NA;forcing variables;26;-16;marine;NA;NA;Labidocera;Labidocera acutifrons;mixed;carotenoids;dominance;NA;0.07;ug/mgDW;NA;NA;NA;NA;surface blue Pontellid copepods 
Fisher et al.;1964;NA;pigment identification/quantification;72;-16;marine;NA;june;Calanus;Calanus finmarchicus;mixed;carotenoids;dominance;NA;0.029;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Aetidius;Aetidius sp. ;mixed;carotenoids;dominance;NA;0.0041;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Calanoides;Calanoides carinatus;mixed;carotenoids;dominance;NA;0.00014;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Calanus;Calanus brevicornis;mixed;carotenoids;dominance;NA;0.00028;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Calanus;Calanus finmarchicus;mixed;carotenoids;dominance;NA;0.023;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Calanus;Calanus helgolandicus;mixed;carotenoids;dominance;NA;0.008;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Candacia;Candacia arthiopica;mixed;carotenoids;dominance;NA;0.016;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Candacia;Candacia armata;mixed;carotenoids;dominance;NA;0.045;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Candacia;Candacia elongata;mixed;carotenoids;dominance;NA;0.208;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Candacia;Candacia longimama;mixed;carotenoids;dominance;NA;0.07;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Centropages;Centropages chierchiae;mixed;carotenoids;dominance;NA;0.06;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Chiridius;Chiridius spp.;mixed;carotenoids;dominance;NA;0.016;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Chirundina;Chirundina streetsi;mixed;carotenoids;dominance;NA;0.059;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Corycaeus;Corycaeus furcifer;mixed;carotenoids;dominance;NA;0.208;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Disseta;Disseta palumboi;mixed;carotenoids;dominance;NA;0.0073;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euaugaptilus;Euaugaptilus filiger;mixed;carotenoids;dominance;NA;0.017;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euaugaptilus;Euaugaptilus laticeps;mixed;carotenoids;dominance;NA;0.02;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euaugaptilus;Euaugaptilus magnus;mixed;carotenoids;dominance;NA;0.033;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Eucalanus;Eucalanus elongatus;mixed;carotenoids;dominance;NA;0.0072;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Eucalanus;Eucalanus mucronatus;mixed;carotenoids;dominance;NA;0.139;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta acuta;mixed;carotenoids;dominance;NA;0.127;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta hebes;mixed;carotenoids;dominance;NA;0.041;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta marina;mixed;carotenoids;dominance;NA;0.063;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta media;mixed;carotenoids;dominance;NA;0.02;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta pubera ;mixed;carotenoids;dominance;NA;0.878;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta spinosa;mixed;carotenoids;dominance;NA;0.05;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchaeta;Euchaeta spp.;mixed;carotenoids;dominance;NA;0.055;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella amoena;mixed;carotenoids;dominance;NA;0.114;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella nitumida;mixed;carotenoids;dominance;NA;0.416;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella brevis;mixed;carotenoids;dominance;NA;0.013;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella curticauda;mixed;carotenoids;dominance;NA;0.028;ug/mgDW;NA;NA;NA;NA;
Fisher et al.;1964;NA;pigment identification/quantification;55;-20;marine;NA;NA;Euchirella;Euchirella intermedia;mixed;carotenoids;dominance;NA;0.125;ug/mgDW;NA;NA;NA;NA;
